RNA_Sample,USC ID ,stress_Group,isNORS,age_ToD,Sex_x,Freezing_duration_Time1,Cooing_frequency_Time1,Cortisol_levels_Time1,Anxious_Temperament_Time1,Freezing_T1,Cooing_T1,Cortisol_T1,AT_T2,AT_T3,Cooing_T2,Cooing_T2_resid,Cooing_T3,Cooing_T3_resid,Cortisol_T2,Cortisol_T2_resid,Cortisol_T3,Cortisol_T3_resid,Freezing_T2,Freezing_T2_resid,Freezing_T3,Freezing_T3_resid,age_T2,age_T3,Freezing_duration_Time2,Cooing_frequency_Time2,Cortisol_levels_Time2,Anxious_Temperament_Time2,Anxious_Temperament_Time1Time2_mean,AT_mean_orig,AT_mean_T1T2
20,44,0,1,2.55890411,M,-0.914846265,0.104108996,0,-0.339651754,0.896088025,3.13581462,78.52,0.394213188,,0,-0.658324132,,,62.98,0.94400181,,,3.103839015,-0.419686379,,,2.58,,0.240213335,-0.811524999,0.304975943,0.452238092,0.056293169,,0.027280717
21,45,0,1,1.843835616,M,-1.464561591,0.218723206,-0.148975742,-0.610753513,0,3.696845502,69.03,-1.187939902,,5.275730597,1.342519513,,,49.7,-1.078185904,,,1.976393166,-1.143114291,,,1.86,,-0.305400984,0.937644681,-0.950101377,-0.731049014,-0.670901264,,-0.899346708
22,46,0,1,2.205479452,M,0.663680736,-1.066524459,2.658813187,1.463006127,3.312366168,0,138.76,0.824445024,,0,-0.820701982,,,58.27,0.237222476,,,4.977193407,1.415410614,,,2.23,,1.411973023,-0.975857713,-0.225289099,0.720847212,1.09192667,,1.143725576
23,47,0,1,1.849315068,M,-1.450450848,1.894297166,-0.22663332,-1.190460445,0,8.495096625,71.78,-0.233471396,,3.366501646,0.497552784,,,56.82,-0.093337847,,,3.120895417,-0.109523558,,,1.86,,0.373803004,0.182300683,-0.235855967,-0.014784549,-0.602622497,,-0.71196592
24,48,0,1,1.882191781,M,1.014071395,-1.100222141,0.341350799,0.818548112,3.83658081,0,78.01,1.174873892,,0.577350269,-0.71828341,,,69.23,1.717048372,,,4.466482666,1.089289894,,,1.9,,1.165481422,-0.902384184,0.776001696,0.947955767,0.88325194,,0.996711002
1,1,0,0,4.169863014,M,0.593596402,-0.22569231,-1.232383414,-0.137698234,3.515517639,0.707106781,43.82,-0.667350864,-0.446474264,2.236067978,0.733500067,0.577350269,0.195748012,51.1,-0.686956077,42.08,-1.097750355,2.087740345,-0.581596449,2.545531272,-0.045924424,4,4.2,-0.606295113,0.739846891,-0.781046921,-0.709062975,-0.423380604,-0.625761681,-0.402524549
2,2,1,0,3.810958904,M,-1.159744802,1.360661169,0.584583498,-0.645274158,0.810930216,5.099019514,76.98,-0.759641991,-0.796791079,4.183300133,1.276143427,4.898979486,1.521235565,63.88,0.635940391,59.37,0.423494395,0,-1.638722937,0.110348057,-1.292632067,3.7,3.8,-1.79381821,1.369369401,0.815369867,-0.782605915,-0.713940036,-1.100853614,-0.702458074
3,3,1,0,3.621917808,M,0.474963281,0.805929495,0.234087587,-0.032292875,3.278401804,3.872983346,62.46,0.520555052,-0.17166477,0,-0.48622198,0.912870929,-0.074182861,62.23,0.37513299,51.71,-0.509570719,3.712758728,0.700310186,1.990154851,-0.079606452,3.5,3.6,0.443812169,-0.379564723,0.588398576,0.470591823,0.219149474,0.158298703,0.244131088
4,4,0,0,4.043835616,M,-1.272367763,-0.437501069,0.08119037,-0.251225442,0.650587566,0,72.98,-0.179803062,-0.547686286,1.08012345,0.214914163,1.08012345,0.249386,64.99,0.433828238,54.03,-0.322807441,1.686398954,-0.758323261,0.650587566,-1.070865417,3.9,4,-0.827322583,0.235570928,0.39518396,-0.22256985,-0.236897646,-0.489357395,-0.215514252
5,5,0,0,3.553424658,M,-0.609634218,-0.740780203,-0.222855112,-0.030569709,1.515127233,0,62.47,-0.231819304,0.501928212,0,-0.55686591,0.408248291,-0.325094923,61.03,-0.016025092,74.05,1.63426415,0.360002734,-1.236298729,1.276293466,-0.453574436,3.4,3.5,-1.528730046,-0.426516927,0.112835619,-0.3297925,-0.180181104,0.1197696,-0.131194506
